authorid,name,university,rank_6yr,cnt_6yr,rank_12yr,cnt_12yr,rank_all,cnt_all,is_top1pct
1260,"Wright, Arnold M.",Northeastern University,1,20,1,28,1,43,1
40,"Dhaliwal, Dan S.",University of Arizona,2,18,1,28,2,39,1
1123,"Tan, Hun-Tong",Nanyang Technological University,3,17,1,28,3,36,1
2664,"Rajgopal, Shivaram",Emory University,4,15,4,27,13,28,1
112,"Bedard, Jean C.",Bentley University,5,14,6,22,8,31,1
729,"Lennox, Clive S.",Nanyang Technological University,5,14,9,19,37,20,1
595,"Knechel, W. Robert",University of Florida,7,13,13,17,21,23,1
2503,"Myers, Linda A.",University of Arkansas,7,13,22,15,85,16,0
55,"Kaplan, Steven E.",Arizona State University,9,12,16,16,6,33,1
738,"Kim, Jeong-Bon",City University of Hong Kong,9,12,33,14,114,14,0
1054,"Francis, Jere R.",University of Missouri,11,11,7,21,11,29,1
622,"Krishnan, Gopal V.","American University Washington, DC",11,11,33,14,98,15,0
2536,"Mills, Lillian F.",University of Texas at Austin,11,11,13,17,28,21,1
260,"Cohen, Jeffrey R.",Boston College,14,10,33,14,37,20,1
1010,"Hanlon, Michelle",Massachusetts Institute of Technology,14,10,22,15,98,15,0
2759,"Hope, Ole-Kristian",University of Toronto,14,10,45,13,133,13,0
673,"Messier, William F.","University of Nevada, Las Vegas",14,10,45,13,37,20,1
2797,"Norman, Carolyn Strand",Virginia Commonwealth University,14,10,45,13,133,13,0
2504,"Omer, Thomas C.",University of Nebraska-Lincoln,14,10,22,15,28,21,1
987,"Pittman, Jeffrey A.",Memorial University,14,10,22,15,85,16,0
1028,"Sedatole, Karen L.",Michigan State University,14,10,33,14,98,15,0
2668,"Shevlin, Terry","University of California, Irvine",14,10,9,19,11,29,1
2177,"Thomas, Wayne B.",University of Oklahoma,14,10,22,15,85,16,0
1073,"Verdi, Rodrigo S.",Massachusetts Institute of Technology,14,10,56,12,153,12,0
1075,"Weber, Joseph P.",Massachusetts Institute of Technology,14,10,9,19,44,19,1
2542,"Williamson, Michael G.",University of Texas at Austin,14,10,91,10,230,10,0
1279,"Wood, David A.",Brigham Young University,14,10,91,10,230,10,0
2479,"Banker, Rajiv D.",Temple University,28,9,12,18,7,32,1
2434,"Barth, Mary E.",Stanford University,28,9,33,14,4,34,1
2153,"Beatty, Anne L.",The Ohio State University,28,9,22,15,28,21,1
3341,"Drake, Michael S.",Brigham Young University,28,9,123,9,301,9,0
10,"Hatfield, Richard C.",University of Alabama,28,9,33,14,98,15,0
2382,"Jackson, Scott B.",University of South Carolina,28,9,68,11,197,11,0
2888,"Johnstone, Karla M.",University of Wisconsin-Madison,28,9,16,16,57,18,0
1056,"Khurana, Inder K.",University of Missouri,28,9,33,14,57,18,0
1215,"Landsman, Wayne R.",University of North Carolina at Chapel Hill,28,9,56,12,44,19,1
2442,"Larcker, David F.",Stanford University,28,9,16,16,8,31,1
1715,"Li, Chan",University of Pittsburgh,28,9,91,10,230,10,0
758,"Lobo, Gerald J.",University of Houston,28,9,68,11,153,12,0
2389,"Rose, Jacob M.",Bentley University,28,9,45,13,114,14,0
514,"Sansing, Richard C.",Dartmouth College,28,9,16,16,10,30,1
1191,"Trotman, Ken T.",UNSW Sydney,28,9,16,16,21,23,1
2545,"Yu, Yong",University of Texas at Austin,28,9,91,10,230,10,0
1302,"Armstrong, Christopher S.",University of Pennsylvania,44,8,91,10,230,10,0
3163,"Badertscher, Brad A.",University of Notre Dame,44,8,159,8,372,8,0
2436,"Beyer, Anne",Stanford University,44,8,123,9,301,9,0
297,"Cheng, Qiang",Singapore Management University,44,8,56,12,153,12,0
2347,"Choi, Jong-Hag",Seoul National University,44,8,91,10,230,10,0
737,"Gul, Ferdinand A.",Monash University,44,8,45,13,44,19,1
871,"Hermanson, Dana R.",Kennesaw State University,44,8,91,10,70,17,0
2676,"Hughes, John S.","University of California, Los Angeles",44,8,22,15,15,27,1
110,"Hunton, James E.",Practice,44,8,8,20,4,34,1
565,"Kadous, Kathryn",Emory University,44,8,45,13,85,16,0
2531,"Koonce, Lisa",University of Texas at Austin,44,8,22,15,16,26,1
1022,"Krishnan, Ranjani",Michigan State University,44,8,33,14,85,16,0
1192,"McVay, Sarah E.",University of Washington,44,8,56,12,153,12,0
440,"Mohanram, Partha S.",University of Toronto,44,8,33,14,114,14,0
586,"Raghunandan, K.",Florida International University,44,8,5,23,13,28,1
2269,"Salterio, Steven E.",Queen's University,44,8,56,12,37,20,1
483,"Smith, Rodney E.",California State University Long Beach,44,8,91,10,230,10,0
360,"Sutton, Steve G.",University of Central Florida,44,8,91,10,85,16,0
568,"Towry, Kristy L.",Emory University,44,8,45,13,133,13,0
547,"Venkatachalam, Mohan",Duke University,44,8,13,17,44,19,1
2090,"Wilson, Ryan",University of Oregon,44,8,123,9,301,9,0
2129,"Zhang, X. Frank",Yale University,44,8,91,10,230,10,0
368,"Ball, Ray",University of Chicago,66,7,91,10,98,15,0
3335,"Cadman, Brian",University of Utah,66,7,211,7,446,7,0
2757,"Callen, Jeffrey L.",University of Toronto,66,7,56,12,98,15,0
2363,"Cohen, Daniel A.",University of Texas at Dallas,66,7,91,10,230,10,0
837,"Collins, Daniel W.",University of Iowa,66,7,68,11,57,18,0
1242,"Curtis, Mary B.",University of North Texas,66,7,159,8,197,11,0
314,"Dechow, Patricia M.","University of California, Berkeley",66,7,68,11,37,20,1
538,"Dikolli, Shane S.",Duke University,66,7,68,11,153,12,0
860,"Ettredge, Michael L.",University of Kansas,66,7,45,13,70,17,0
2217,"Gong, Guojin",Pennsylvania State University,66,7,159,8,372,8,0
1019,"Hogan, Chris E.",Michigan State University,66,7,91,10,133,13,0
115,"Hoitash, Rani",Bentley University,66,7,159,8,372,8,0
3215,"Janvrin, Diane J.",Iowa State University,66,7,159,8,372,8,0
177,"Kim, Yongtae",Santa Clara University,66,7,159,8,372,8,0
1070,"Kothari, S. P.",Massachusetts Institute of Technology,66,7,45,13,21,23,1
1255,"Krishnamoorthy, Ganesh",Northeastern University,66,7,91,10,133,13,0
44,"Li, Oliver Zhen",National University of Singapore,66,7,33,14,114,14,0
3367,"Liao, Scott",University of Toronto,66,7,211,7,446,7,0
1200,"Livnat, Joshua",Retired or Emeritus,66,7,68,11,114,14,0
2760,"Lu, Hai",University of Toronto,66,7,159,8,372,8,0
543,"Mayew, William J.",Duke University,66,7,159,8,372,8,0
3373,"McInnis, John M.",University of Texas at Austin,66,7,211,7,446,7,0
785,"Peecher, Mark E.",University of Illinois at Urbana-Champaign,66,7,91,10,114,14,0
280,"Prawitt, Douglas F.",Brigham Young University,66,7,123,9,133,13,0
587,"Rama, Dasaratha V.",Florida International University,66,7,22,15,70,17,0
1898,"Richardson, Vernon J.",University of Arkansas,66,7,68,11,197,11,0
3107,"Robinson, Leslie A.",Dartmouth College,66,7,211,7,446,7,0
1012,"Shakespeare, Catherine",University of Michigan,66,7,123,9,301,9,0
920,"Shivakumar, Lakshmanan",London Business School,66,7,68,11,153,12,0
1189,"Simnett, Roger",UNSW Sydney,66,7,123,9,153,12,0
381,"Skinner, Douglas J.",University of Chicago,66,7,56,12,44,19,1
2280,"Widener, Sally K.",Clemson University,66,7,68,11,133,13,0
658,"Yeung, P. Eric",Cornell University,66,7,123,9,301,9,0
528,"Agoglia, Christopher P.",University of Massachusetts Amherst,99,6,91,10,230,10,0
354,"Arnold, Vicky",University of Central Florida,99,6,211,7,153,12,0
835,"Balakrishnan, Ramji",University of Iowa,99,6,159,8,57,18,0
2792,"Bierstaker, James L.",Villanova University,99,6,286,6,372,8,0
2241,"Birnberg, Jacob G.",University of Pittsburgh,99,6,286,6,301,9,0
2228,"Blouin, Jennifer L.",University of Pennsylvania,99,6,91,10,230,10,0
1110,"Brazel, Joseph F.",North Carolina State University,99,6,159,8,372,8,0
1374,"Cardinaels, Eddy",Tilburg University,99,6,211,7,446,7,0
296,"Chen, Xia",Singapore Management University,99,6,286,6,543,6,0
2549,"Cready, William M.",University of Texas at Dallas,99,6,159,8,114,14,0
1496,"De Franco, Gus",University of Toronto,99,6,211,7,446,7,0
3499,"Donelson, Dain C.",University of Texas at Austin,99,6,286,6,543,6,0
774,"Elliott, W. Brooke",University of Illinois at Urbana-Champaign,99,6,159,8,372,8,0
2243,"Feng, Mei",University of Pittsburgh,99,6,211,7,446,7,0
2740,"Gendron, Yves",Laval University,99,6,68,11,153,12,0
285,"Glover, Steven M.",Brigham Young University,99,6,68,11,114,14,0
2526,"Hales, Jeffrey W.",Georgia Institute of Technology,99,6,211,7,446,7,0
924,"Hall, Matthew",London School of Economics and Political Science,99,6,211,7,446,7,0
655,"Hammersley, Jacqueline S.",University of Georgia,99,6,211,7,446,7,0
664,"Hannan, R. Lynn",Tulane University,99,6,159,8,301,9,0
807,"Hodder, Leslie",Indiana University Bloomington,99,6,91,10,230,10,0
1589,"Hoitash, Udi",Northeastern University,99,6,286,6,543,6,0
2856,"Jayaraman, Sudarshan",University of Rochester,99,6,286,6,543,6,0
2483,"Krishnan, Jagan",Temple University,99,6,159,8,153,12,0
2484,"Krishnan, Jayanthi",Temple University,99,6,68,11,153,12,0
2533,"Laux, Volker",University of Texas at Austin,99,6,286,6,543,6,0
1003,"Li, Feng",University of Michigan,99,6,211,7,446,7,0
596,"Lin, Haijin",University of Houston,99,6,211,7,446,7,0
3371,"Martin, Xiumin",Washington University in St. Louis,99,6,286,6,543,6,0
1217,"Maydew, Edward L.",University of North Carolina at Chapel Hill,99,6,91,10,57,18,0
3441,"Mcguire, Sean T.",Texas A&M University,99,6,286,6,543,6,0
2916,"Mittendorf, Brian",The Ohio State University,99,6,22,15,98,15,0
1828,"Naiker, Vic",Monash University,99,6,211,7,446,7,0
79,"Peters, Gary F.",University of Arkansas,99,6,68,11,197,11,0
1883,"Ramanna, Karthik",Harvard University,99,6,286,6,543,6,0
705,"Riedl, Edward J.",Boston University,99,6,91,10,230,10,0
3056,"Rose, Ania (Anna) M.",Bentley University,99,6,159,8,372,8,0
3170,"Sharma, Divesh S",Kennesaw State University,99,6,286,6,543,6,0
3423,"Sharp, Nathan Y.",Texas A&M University,99,6,286,6,543,6,0
383,"Srinivasan, Suraj",Harvard University,99,6,159,8,372,8,0
613,"Stevens, Douglas E.",Georgia State University,99,6,159,8,230,10,0
3401,"Taylor, Daniel J.",University of Pennsylvania,99,6,286,6,543,6,0
328,"Teoh, Siew Hong Teoh","University of California, Irvine",99,6,123,9,153,12,0
598,"Tucker, Jennifer W.",University of Florida,99,6,123,9,301,9,0
2385,"Tuttle, Brad M.",University of South Carolina,99,6,56,12,44,19,1
2039,"Vasvari, Florin P.",London Business School,99,6,211,7,446,7,0
1157,"Wang, Dechun",Texas A&M University,99,6,123,9,301,9,0
1062,"Wheeler, Patrick R.",University of South Florida,99,6,159,8,372,8,0
3105,"Wittenberg-Moerman, Regina",University of Chicago,99,6,286,6,543,6,0
3233,"Zhang, Haiwen",The Ohio State University,99,6,286,6,543,6,0
1261,"Zhang, Yue (May)",Northeastern University,99,6,286,6,543,6,0
111,"Abdolmohammadi, Mohammad J.",Bentley University,150,5,286,6,301,9,0
2152,"Arya, Anil",The Ohio State University,150,5,22,15,21,23,1
646,"Ayers, Benjamin C.",University of Georgia,150,5,68,11,70,17,0
649,"Bamber, Linda Smith",University of Georgia,150,5,393,5,197,11,0
662,"Brown, Lawrence D.",Temple University,150,5,123,9,44,19,1
2604,"Cahan, Steven F.",University of Auckland,150,5,286,6,446,7,0
2492,"Carcello, Joseph V.",University of Tennessee Knoxville,150,5,123,9,57,18,0
652,"Carpenter, Tina D.",University of Georgia,150,5,286,6,543,6,0
3167,"Carson, Elizabeth",UNSW Sydney,150,5,393,5,667,5,0
2230,"Carter, Mary Ellen",Boston College,150,5,123,9,230,10,0
3336,"Caskey, Judson",University of Texas at Austin,150,5,393,5,667,5,0
132,"Chang, Hsihui",Drexel University,150,5,123,9,230,10,0
